species,height_cm,canopy_m2,leaflength_cm,leafwidth_mm
Ajania achilleoides,6.42 ,0.184 ,0.75,0.5
Ajania fruticulosa,10.42 ,0.118 ,1.75,17.5
Alhagi sparsifolia,12.00 ,0.024 ,1.15,7.5
Ammopiptanthus mongolicus,76.31 ,12.594 ,2.75,13
Amygdalus mongolica,43.98 ,1.710 ,1.15,8
Amygdalus pedunculata,29.38 ,3.141 ,2.5,13.5
Anabasis brevifolia,6.94 ,0.078 ,0.55,1.75
Artemisia ordosica,51.12 ,3.084 ,5,30
Artemisia sphaerocephala,33.07 ,0.912 ,5,22.5
Artemisia xanthochloa,33.11 ,1.055 ,30,20
Artemisia xerophytica,2.00 ,0.002 ,1.25,5
Asterothamnus centrali-asiaticus,15.83 ,0.173 ,13.5,1.75
Atraphaxis frutescens,28.42 ,0.462 ,1.75,10
Brachanthemum gobicum,15.93 ,0.587 ,1.5,5
Calligonum mongolicum,45.81 ,3.196 ,0.3,0.15
Caragana brachypoda,12.08 ,0.157 ,0.6,2
Caragana intermedia,80.83 ,3.523 ,0.65,5
Caragana korshinskii,105.57 ,8.615 ,0.75,4.5
Caragana microphylla,17.56 ,0.732 ,0.65,5
Caragana stenophylla,10.17 ,0.150 ,0.75,1.5
Caragana tibetica,12.56 ,0.632 ,1,1
Convolvulus gortschakovii,13.00 ,0.489 ,1.35,2.25
Convolvulus tragacanthoides,13.31 ,0.216 ,1.25,2.75
Corethrodendron scoparium,84.08 ,0.923 ,2.25,4.5
Corethrodendron lignosum var. laeve,126.99 ,3.882 ,11,4.5
Gymnocarpos przewalskii,20.67 ,1.138 ,0.75,1.25
Helianthemum songaricum,17.83 ,0.099 ,0.6,2
Kalidium cuspidatum,10.75 ,0.151 ,0.225,1.25
Kalidium foliatum,13.36 ,0.503 ,0.7,2.5
Krascheninnikovia ceratoides,26.26 ,0.435 ,1.5,3.5
Lycium ruthenicum,32.50 ,0.150 ,1.75,4.5
Nitraria sibirica,15.90 ,2.762 ,1.05,3.5
Nitraria sphaerocarpa,22.02 ,1.451 ,1.5,3
Nitraria tangutorum,32.59 ,10.111 ,2.4,7
Oxytropis aciphylla,7.33 ,0.238 ,1.15,1.5
Periploca sepium,26.94 ,3.150 ,7,20
Potaninia mongolica,12.38 ,0.467 ,0.2,0.5
Reaumuria soongarica,20.91 ,0.952 ,0.3,1
Reaumuria trigyna,20.26 ,0.748 ,0.75,1
Salix cheilophila,178.92 ,4.883 ,3,4
Salsola arbuscula,40.17 ,1.573 ,2,1.5
Salsola laricifolia,15.34 ,0.364 ,1.5,1.5
Salsola passerina,11.63 ,0.203 ,0.25,2
Sympegma regelii,20.90 ,0.410 ,0.7,1.5
Tamarix chinensis,96.00 ,5.527 ,0.165,0.15
Tetraena mongolica,25.44 ,1.248 ,0.6,2.5
Zygophyllum xanthoxylon,33.51 ,1.449 ,1.6,3.5
